nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Energy;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
120;320;1;9;1;1;4;0;true;22499327;3;18925139;1512032;0;0
130;320;1;9;1;1;4;0;true;22586327;3;19002939;1512032;0;0
140;320;1;9;1;1;4;0;true;22673327;3;19080739;1512032;0;0
150;320;1;9;1;1;4;0;true;22760327;3;19158539;1512032;0;0
160;320;1;9;1;1;4;0;true;22847327;3;19236339;1512032;0;0
80;320;4;9;1;1;4;0;true;22151342;3;6461857;6537984;0;0
130;320;4;9;1;1;4;0;true;22568942;3;6556298;6321984;0;0
80;320;5;9;1;1;4;0;true;22151341;3;7953593;6898080;0;0
90;320;5;9;1;1;4;0;true;22238341;3;7969393;6846240;0;0
110;320;5;9;1;1;4;0;true;22412341;3;8000993;6682080;0;0
140;320;5;9;1;1;4;0;true;22673341;3;8048393;6206880;0;0
80;320;10;9;1;1;4;0;true;22151356;3;6734859;6653760;0;0
90;320;10;9;1;1;4;0;true;22238356;3;6771616;6473760;0;0
100;320;10;9;1;1;4;0;true;22325356;3;6800897;6390240;0;0
80;320;1;9;0;0;5;0;true;34610866;1;15439812;4363264;0;0
90;320;1;9;0;0;5;0;true;34746804;1;15509412;4363264;0;0
100;320;1;9;0;0;5;0;true;34882742;1;15579012;4363264;0;0
110;320;1;9;0;0;5;0;true;35018678;1;15648612;4363264;0;0
120;320;1;9;0;0;5;0;true;35154616;1;15718212;4363264;0;0
130;320;1;9;0;0;5;0;true;35290554;1;15787812;4363264;0;0
140;320;1;9;0;0;5;0;true;35426492;1;15857412;4363264;0;0
150;320;1;9;0;0;5;0;true;35562428;1;15927012;4363264;0;0
160;320;1;9;0;0;5;0;true;35698366;1;15996612;4363264;0;0
80;320;2;9;0;0;5;0;true;34610877;1;8271586;6105792;0;0
90;320;2;9;0;0;5;0;true;34746815;1;8310186;6105792;0;0
100;320;2;9;0;0;5;0;true;34882753;1;8348786;6105792;0;0
110;320;2;9;0;0;5;0;true;35018690;1;8387386;6105792;0;0
80;320;4;9;0;0;5;0;true;34610883;1;5502156;6105984;0;0
90;320;4;9;0;0;5;0;true;34719630;1;5520636;6105984;0;0
100;320;4;9;0;0;5;0;true;34882755;1;5548356;6105984;0;0
110;320;4;9;0;0;5;0;true;34991506;1;5566836;6105984;0;0
120;320;4;9;0;0;5;0;true;35154630;1;5594556;6105984;0;0
130;320;4;9;0;0;5;0;true;35263381;1;5613036;6105984;0;0
140;320;4;9;0;0;5;0;true;35426506;1;5640756;6105984;0;0
150;320;4;9;0;0;5;0;true;35535257;1;5659236;6105984;0;0
160;320;4;9;0;0;5;0;true;35698381;1;5686956;6105984;0;0
80;320;5;9;0;0;5;0;true;34610848;1;6738741;5875680;0;0
80;320;10;9;0;0;5;0;true;34610883;1;5736424;6361440;0;0
90;320;10;9;0;0;5;0;true;34746817;1;5768824;6361440;0;0
100;320;10;9;0;0;5;0;true;34882761;1;5798724;6361440;0;0
80;320;1;12;0;0;5;0;true;46139690;1;20400813;2040032;0;0
90;320;1;12;0;0;5;0;true;46275628;1;20470413;2040032;0;0
100;320;1;12;0;0;5;0;true;46411566;1;20540013;2040032;0;0
110;320;1;12;0;0;5;0;true;46547502;1;20609613;2040032;0;0
120;320;1;12;0;0;5;0;true;46683440;1;20679213;2040032;0;0
130;320;1;12;0;0;5;0;true;46819378;1;20748813;2040032;0;0
140;320;1;12;0;0;5;0;true;46955316;1;20818413;2040032;0;0
150;320;1;12;0;0;5;0;true;47091252;1;20888013;2040032;0;0
160;320;1;12;0;0;5;0;true;47227190;1;20957613;2040032;0;0
80;320;1;9;1;0;5;0;true;34610866;2;15130211;4824032;0;0
90;320;1;9;1;0;5;0;true;34746804;2;15199811;4824032;0;0
80;320;4;9;1;0;5;0;true;34610883;2;5408552;6807984;0;0
90;320;4;9;1;0;5;0;true;34719630;2;5427032;6807984;0;0
100;320;4;9;1;0;5;0;true;34882755;2;5454752;6807984;0;0
110;320;4;9;1;0;5;0;true;34991506;2;5473232;6807984;0;0
80;320;10;9;1;0;5;0;true;34610883;2;5626769;6289440;0;0
90;320;10;9;1;0;5;0;true;34746817;2;5659169;6289440;0;0
100;320;10;9;1;0;5;0;true;34882761;2;5689069;6116640;0;0
80;320;1;9;0;1;5;0;true;34610866;2;15200933;4363264;0;0
90;320;1;9;0;1;5;0;true;34746804;2;15263173;4363264;0;0
100;320;1;9;0;1;5;0;true;34882742;2;15325413;4363264;0;0
110;320;1;9;0;1;5;0;true;35018678;2;15387653;4363264;0;0
80;320;4;9;0;1;5;0;true;34610883;2;5263277;6264384;0;0
140;320;4;9;0;1;5;0;true;35426506;2;5357717;5803584;0;0
80;320;5;9;0;1;5;0;true;34610848;2;6499862;6624480;0;0
100;320;5;9;0;1;5;0;true;34882726;2;6525142;6336480;0;0
110;320;5;9;0;1;5;0;true;35018659;2;6537782;6278880;0;0
150;320;5;9;0;1;5;0;true;35562409;2;6588342;5803680;0;0
80;320;10;9;0;1;5;0;true;34610883;2;5493800;6059040;0;0
90;320;10;9;0;1;5;0;true;34746817;2;5526200;6149760;0;0
100;320;10;9;0;1;5;0;true;34882761;2;5549624;6149760;0;0
80;320;1;12;0;1;5;0;true;46139690;2;20101934;2040032;0;0
90;320;1;12;0;1;5;0;true;46275628;2;20164174;2040032;0;0
100;320;1;12;0;1;5;0;true;46411566;2;20226414;2040032;0;0
110;320;1;12;0;1;5;0;true;46547502;2;20288654;2040032;0;0
120;320;1;12;0;1;5;0;true;46683440;2;20350894;2040032;0;0
80;320;1;9;1;1;5;0;true;34610866;3;14891331;1512032;0;0
90;320;1;9;1;1;5;0;true;34746804;3;14953571;1512032;0;0
100;320;1;9;1;1;5;0;true;34882742;3;15015811;1512032;0;0
110;320;1;9;1;1;5;0;true;35018678;3;15078051;4766432;0;0
120;320;1;9;1;1;5;0;true;35154616;3;15140291;1512032;0;0
130;320;1;9;1;1;5;0;true;35290554;3;15202531;1512032;0;0
140;320;1;9;1;1;5;0;true;35426492;3;15264771;1512032;0;0
150;320;1;9;1;1;5;0;true;35562428;3;15327011;1512032;0;0
160;320;1;9;1;1;5;0;true;35698366;3;15389251;1512032;0;0
80;320;4;9;1;1;5;0;true;34610883;3;5169672;6537984;0;0
130;320;4;9;1;1;5;0;true;35263381;3;5245225;6321984;0;0
80;320;5;9;1;1;5;0;true;34610848;3;6363057;6898080;0;0
90;320;5;9;1;1;5;0;true;34746787;3;6375697;6846240;0;0
110;320;5;9;1;1;5;0;true;35018659;3;6400977;6682080;0;0
140;320;5;9;1;1;5;0;true;35426476;3;6438897;6206880;0;0
80;320;10;9;1;1;5;0;true;34610883;3;5387891;6653760;0;0
90;320;10;9;1;1;5;0;true;34746817;3;5417297;6473760;0;0
100;320;10;9;1;1;5;0;true;34882761;3;5440721;6639360;0;0
130;320;10;9;1;1;5;0;true;35290572;3;5478641;6462240;0;0
