nKeypointsMaxUser;image_width;parallelismLevel;AspectRatioDenominator;delayRead;delayDisplay;NumeratorFrequency;imgDouble;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
160;640;10;12;0;0;3;0;true;66168506;1;50134116;76800;0;0
80;320;1;9;1;0;3;0;true;12460557;2;25216411;403200;0;0
90;320;1;9;1;0;3;0;true;12509495;2;25332411;403200;0;0
100;320;1;9;1;0;3;0;true;12558433;2;25448411;403200;0;0
110;320;1;9;1;0;3;0;true;12607369;2;25564411;403200;0;0
120;320;1;9;1;0;3;0;true;12656307;2;25680411;403200;0;0
130;320;1;9;1;0;3;0;true;12705245;2;25796411;403200;0;0
140;320;1;9;1;0;3;0;true;12754183;2;25912411;403200;0;0
150;320;1;9;1;0;3;0;true;12803119;2;26028411;403200;0;0
160;320;1;9;1;0;3;0;true;12852057;2;26144411;403200;0;0
80;640;1;9;1;0;3;0;true;49047781;2;98078917;32;0;0
90;640;1;9;1;0;3;0;true;49096719;2;98194917;32;0;0
100;640;1;9;1;0;3;0;true;49145657;2;98310917;32;0;0
110;640;1;9;1;0;3;0;true;49194593;2;98426917;32;0;0
120;640;1;9;1;0;3;0;true;49243531;2;98542917;32;0;0
130;640;1;9;1;0;3;0;true;49292469;2;98658917;32;0;0
140;640;1;9;1;0;3;0;true;49341407;2;98774917;32;0;0
150;640;1;9;1;0;3;0;true;49390343;2;98890917;32;0;0
160;640;1;9;1;0;3;0;true;49439281;2;99006917;32;0;0
80;320;2;9;1;0;3;0;true;12460550;2;13509348;14400;0;0
90;320;2;9;1;0;3;0;true;12509488;2;13573682;14400;0;0
100;320;2;9;1;0;3;0;true;12558426;2;13638016;14400;0;0
110;320;2;9;1;0;3;0;true;12607363;2;13702348;14400;0;0
120;320;2;9;1;0;3;0;true;12656301;2;13766682;14400;0;0
130;320;2;9;1;0;3;0;true;12705237;2;13831016;14400;0;0
140;320;2;9;1;0;3;0;true;12754175;2;13895348;14400;0;0
150;320;2;9;1;0;3;0;true;12803112;2;13959682;14400;0;0
160;320;2;9;1;0;3;0;true;12852050;2;14024016;14400;0;0
80;640;2;9;1;0;3;0;true;49047775;2;52490609;57600;0;0
90;640;2;9;1;0;3;0;true;49096713;2;52554943;57600;0;0
100;640;2;9;1;0;3;0;true;49145651;2;52619277;57600;0;0
110;640;2;9;1;0;3;0;true;49194588;2;52683609;57600;0;0
120;640;2;9;1;0;3;0;true;49243526;2;52747943;57600;0;0
130;640;2;9;1;0;3;0;true;49292462;2;52812277;57600;0;0
140;640;2;9;1;0;3;0;true;49341400;2;52876609;57600;0;0
150;640;2;9;1;0;3;0;true;49390337;2;52940943;57600;0;0
160;640;2;9;1;0;3;0;true;49439275;2;53005277;57600;0;0
80;320;4;9;1;0;3;0;true;12460552;2;9013627;14400;0;0
90;320;4;9;1;0;3;0;true;12499699;2;9044427;14400;0;0
100;320;4;9;1;0;3;0;true;12558424;2;9090627;14400;0;0
110;320;4;9;1;0;3;0;true;12597575;2;9121427;14400;0;0
120;320;4;9;1;0;3;0;true;12656299;2;9167627;14400;0;0
130;320;4;9;1;0;3;0;true;12695450;2;9198427;14400;0;0
140;320;4;9;1;0;3;0;true;12754175;2;9244627;14400;0;0
150;320;4;9;1;0;3;0;true;12793326;2;9275427;14400;0;0
160;320;4;9;1;0;3;0;true;12852050;2;9321627;14400;0;0
80;640;4;9;1;0;3;0;true;49047775;2;35127705;230400;0;0
90;640;4;9;1;0;3;0;true;49086922;2;35158505;230400;0;0
100;640;4;9;1;0;3;0;true;49145647;2;35204705;230400;0;0
110;640;4;9;1;0;3;0;true;49184798;2;35235505;230400;0;0
120;640;4;9;1;0;3;0;true;49243522;2;35281705;230400;0;0
130;640;4;9;1;0;3;0;true;49282673;2;35312505;230400;0;0
140;640;4;9;1;0;3;0;true;49341398;2;35358705;230400;0;0
150;640;4;9;1;0;3;0;true;49380549;2;35389505;230400;0;0
160;640;4;9;1;0;3;0;true;49439273;2;35435705;230400;0;0
80;320;5;9;1;0;3;0;true;12460553;2;11002603;14400;0;0
90;320;5;9;1;0;3;0;true;12509492;2;11035937;14400;0;0
100;320;5;9;1;0;3;0;true;12558431;2;11069271;14400;0;0
110;320;5;9;1;0;3;0;true;12607364;2;11102603;14400;0;0
120;320;5;9;1;0;3;0;true;12656303;2;11135937;14400;0;0
130;320;5;9;1;0;3;0;true;12705242;2;11169271;14400;0;0
140;320;5;9;1;0;3;0;true;12754181;2;11202603;14400;0;0
150;320;5;9;1;0;3;0;true;12803114;2;11235937;14400;0;0
160;320;5;9;1;0;3;0;true;12852053;2;11269271;14400;0;0
80;640;5;9;1;0;3;0;true;49047782;2;43207626;57600;0;0
90;640;5;9;1;0;3;0;true;49096721;2;43240960;57600;0;0
100;640;5;9;1;0;3;0;true;49145660;2;43274294;57600;0;0
110;640;5;9;1;0;3;0;true;49194593;2;43307626;57600;0;0
120;640;5;9;1;0;3;0;true;49243532;2;43340960;57600;0;0
130;640;5;9;1;0;3;0;true;49292471;2;43374294;57600;0;0
140;640;5;9;1;0;3;0;true;49341410;2;43407626;57600;0;0
150;640;5;9;1;0;3;0;true;49390343;2;43440960;57600;0;0
160;640;5;9;1;0;3;0;true;49439282;2;43474294;57600;0;0
80;320;10;9;1;0;3;0;true;12460558;2;9377920;6289440;0;0
90;320;10;9;1;0;3;0;true;12509492;2;9431919;6289440;0;0
100;320;10;9;1;0;3;0;true;12558436;2;9481752;172800;0;0
110;320;10;9;1;0;3;0;true;12607369;2;9515086;172800;0;0
120;320;10;9;1;0;3;0;true;12656313;2;9548419;172800;0;0
130;320;10;9;1;0;3;0;true;12705247;2;9581752;172800;0;0
140;320;10;9;1;0;3;0;true;12754181;2;9615086;172800;0;0
150;320;10;9;1;0;3;0;true;12803124;2;9648419;172800;0;0
160;320;10;9;1;0;3;0;true;12852058;2;9681752;172800;0;0
80;640;10;9;1;0;3;0;true;49047807;2;36777587;25395360;0;0
90;640;10;9;1;0;3;0;true;49096741;2;36800587;25395360;0;0
100;640;10;9;1;0;3;0;true;49145685;2;36823587;25395360;0;0
110;640;10;9;1;0;3;0;true;49194618;2;36846587;25395360;0;0
120;640;10;9;1;0;3;0;true;49243562;2;36869587;25395360;0;0
130;640;10;9;1;0;3;0;true;49292496;2;36892587;25395360;0;0
140;640;10;9;1;0;3;0;true;49341430;2;36915587;25395360;0;0
150;640;10;9;1;0;3;0;true;49390373;2;36938587;25395360;0;0
160;640;10;9;1;0;3;0;true;49439307;2;36961587;25395360;0;0
80;320;1;12;1;0;3;0;true;16610940;2;33312248;32;0;0
90;320;1;12;1;0;3;0;true;16659878;2;33428248;32;0;0
100;320;1;12;1;0;3;0;true;16708816;2;33544248;32;0;0
110;320;1;12;1;0;3;0;true;16757752;2;33660248;32;0;0
120;320;1;12;1;0;3;0;true;16806690;2;33776248;32;0;0
130;320;1;12;1;0;3;0;true;16855628;2;33892248;32;0;0
140;320;1;12;1;0;3;0;true;16904566;2;34008248;32;0;0
150;320;1;12;1;0;3;0;true;16953502;2;34124248;32;0;0
160;320;1;12;1;0;3;0;true;17002440;2;34240248;32;0;0
80;640;1;12;1;0;3;0;true;65776952;2;130462255;2150400;0;0
90;640;1;12;1;0;3;0;true;65825890;2;130578255;2150400;0;0
100;640;1;12;1;0;3;0;true;65874828;2;130694255;2150400;0;0
110;640;1;12;1;0;3;0;true;65923764;2;130810255;2150400;0;0
120;640;1;12;1;0;3;0;true;65972702;2;130926255;2150400;0;0
130;640;1;12;1;0;3;0;true;66021640;2;131042255;2150400;0;0
140;640;1;12;1;0;3;0;true;66070578;2;131158255;2150400;0;0
150;640;1;12;1;0;3;0;true;66119514;2;131274255;2150400;0;0
160;640;1;12;1;0;3;0;true;66168452;2;131390255;2150400;0;0
80;320;2;12;1;0;3;0;true;16610938;2;17840602;19200;0;0
90;320;2;12;1;0;3;0;true;16659876;2;17904936;19200;0;0
100;320;2;12;1;0;3;0;true;16708814;2;17969270;19200;0;0
110;320;2;12;1;0;3;0;true;16757751;2;18033602;19200;0;0
120;320;2;12;1;0;3;0;true;16806689;2;18097936;19200;0;0
130;320;2;12;1;0;3;0;true;16855625;2;18162270;19200;0;0
140;320;2;12;1;0;3;0;true;16904563;2;18226602;19200;0;0
150;320;2;12;1;0;3;0;true;16953500;2;18290936;19200;0;0
160;320;2;12;1;0;3;0;true;17002438;2;18355270;19200;0;0
80;640;2;12;1;0;3;0;true;65776960;2;69815615;76800;0;0
90;640;2;12;1;0;3;0;true;65825898;2;69879949;76800;0;0
100;640;2;12;1;0;3;0;true;65874836;2;69944283;76800;0;0
110;640;2;12;1;0;3;0;true;65923773;2;70008615;76800;0;0
120;640;2;12;1;0;3;0;true;65972711;2;70072949;76800;0;0
130;640;2;12;1;0;3;0;true;66021647;2;70137283;76800;0;0
140;640;2;12;1;0;3;0;true;66070585;2;70201615;76800;0;0
150;640;2;12;1;0;3;0;true;66119522;2;70265949;76800;0;0
160;640;2;12;1;0;3;0;true;66168460;2;70330283;76800;0;0
80;320;4;12;1;0;3;0;true;16610940;2;11915190;76800;0;0
90;320;4;12;1;0;3;0;true;16650087;2;11945990;76800;0;0
100;320;4;12;1;0;3;0;true;16708812;2;11992190;76800;0;0
110;320;4;12;1;0;3;0;true;16747963;2;12022990;76800;0;0
